Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
HSI,2016-01-27,19211.85938,19216.99023,18931.33984,19052.44922,19052.44922,1929850700.0,2476.8183986
HSI,2016-01-28,19093.76953,19223.58984,18982.2207,19195.83008,19195.83008,1941781800.0,2495.4579104
HSI,2016-01-29,19138.41992,19709.99023,19130.58984,19683.10938,19683.10938,2350176600.0,2558.8042194000004
HSI,2018-04-20,30647.93945,30848.4707,30355.78906,30418.33008,30418.33008,1661298600.0,3954.3829104
HSI,2018-04-23,30327.0293,30481.85938,30184.44922,30254.40039,30254.40039,1516737400.0,3933.0720507
HSI,2018-04-24,30353.83008,30665.09961,30335.28906,30636.24023,30636.24023,1741299100.0,3982.7112299
HSI,2018-04-25,30486.85938,30507.18945,30244.16016,30328.15039,30328.15039,1674472500.0,3942.6595507
HSI,2018-04-26,30378.15039,30463.41992,29871.19922,30007.67969,30007.67969,1765452500.0,3900.9983597
HSI,2018-04-27,30300.83008,30336.0,30019.11914,30280.66992,30280.66992,1610929100.0,3936.4870896
HSI,2018-04-30,30530.40039,30853.13086,30483.91016,30808.44922,30808.44922,1923280800.0,4005.0983986
HSI,2018-05-02,30782.21094,30824.76953,30570.81055,30723.88086,30723.88086,1643135500.0,3994.1045118
HSI,2018-05-03,30405.48047,30432.07031,30118.65039,30313.36914,30313.36914,1736327100.0,3940.7379882
HSI,2018-05-04,30316.98047,30341.46094,29859.30078,29926.5,29926.5,1754754700.0,3890.445
HSI,2018-05-07,30102.06055,30138.33008,29791.86914,29994.25977,29994.25977,1441380300.0,3899.2537701
HSI,2018-05-08,30123.76953,30444.2207,30123.76953,30402.81055,30402.81055,1623605700.0,3952.3653715
HSI,2018-05-09,30452.16016,30568.75977,30346.61914,30536.14063,30536.14063,1360669300.0,3969.6982819000004
HSI,2018-05-10,30716.9707,30851.30078,30712.92969,30809.2207,30809.2207,1534597300.0,4005.1986910000005
HSI,2018-05-11,31151.80078,31277.39063,31032.43945,31122.06055,31122.06055,1627487900.0,4045.8678715
HSI,2018-05-14,31498.35938,31592.56055,31423.57031,31541.08008,31541.08008,1794416600.0,4100.3404104
HSI,2018-05-15,31573.17969,31573.17969,31152.0293,31152.0293,31152.0293,1566899600.0,4049.763809
HSI,2018-05-16,31014.7207,31218.08008,30818.7793,31110.19922,31110.19922,1348037300.0,4044.3258986
HSI,2018-05-17,31416.71094,31416.71094,30942.15039,30942.15039,30942.15039,1499907300.0,4022.4795507
HSI,2018-05-18,31033.9707,31148.06055,30904.67969,31047.91016,31047.91016,1722070700.0,4036.2283208
HSI,2018-05-21,31232.78906,31464.09961,31232.78906,31234.34961,31234.34961,1599624500.0,4060.4654493000003
HSI,2018-05-23,31191.86914,31191.86914,30665.64063,30665.64063,30665.64063,2434017000.0,3986.5332819000005
HSI,2018-05-24,30718.66016,30788.9707,30589.38086,30760.41016,30760.41016,1579074300.0,3998.8533208
HSI,2018-05-25,30664.26953,30736.9707,30525.74023,30588.03906,30588.03906,1677533500.0,3976.4450778
HSI,2018-05-28,30759.83984,30839.30078,30530.4707,30792.25977,30792.25977,1736227200.0,4002.9937701000003
HSI,2018-05-29,30647.25977,30713.32031,30454.17969,30484.58008,30484.58008,1658628600.0,3962.9954104000003
HSI,2018-05-30,30109.36914,30241.23047,29964.33984,30056.78906,30056.78906,2407803400.0,3907.3825778
HSI,2018-05-31,30274.17969,30533.58008,30148.42969,30468.56055,30468.56055,4110003600.0,3960.9128714999997
HSI,2018-06-01,30548.7793,30581.11914,30363.49023,30492.91016,30492.91016,2778527900.0,3964.0783208000003
HSI,2018-06-04,30836.76953,31012.91992,30743.17969,30997.98047,30997.98047,1836620100.0,4029.7374611
HSI,2018-06-05,31009.4707,31188.92969,30896.10938,31093.44922,31093.44922,1722042700.0,4042.1483986
HSI,2018-06-06,31162.01953,31332.41992,31161.36914,31259.09961,31259.09961,1465410700.0,4063.6829493000005
HSI,2018-06-07,31464.63086,31521.13086,31369.2793,31512.63086,31512.63086,1937967000.0,4096.642011800001
HSI,2018-06-08,31435.25977,31435.25977,30874.09961,30958.21094,30958.21094,1721286300.0,4024.5674222000002
HSI,2018-06-11,31016.51953,31134.0293,30898.57031,31063.69922,31063.69922,1323340300.0,4038.2808986
HSI,2018-06-12,31029.84961,31242.85938,30944.9707,31103.06055,31103.06055,1378992000.0,4043.3978715
HSI,2018-06-13,30990.36914,31023.73047,30688.25977,30725.15039,30725.15039,1630943500.0,3994.2695507
HSI,2018-06-14,30684.07031,30777.96094,30349.96094,30440.16992,30440.16992,2128385000.0,3957.2220896000003
HSI,2018-06-15,30411.07031,30519.28906,30259.10938,30309.49023,30309.49023,2336474000.0,3940.2337299
HSI,2018-06-19,29999.00977,30012.03906,29332.2793,29468.15039,29468.15039,3563935000.0,3830.8595507
HSI,2018-06-20,29478.46094,29944.30078,29406.19922,29696.16992,29696.16992,2235041100.0,3860.5020896
HSI,2018-06-21,29764.05078,29882.26953,29285.71094,29296.05078,29296.05078,2026711800.0,3808.4866014000004
HSI,2018-06-22,29215.53906,29436.83984,29089.39063,29338.69922,29338.69922,2153358900.0,3814.0308986
HSI,2018-06-25,29326.11914,29403.35938,28895.40039,28961.39063,28961.39063,2300773700.0,3764.9807819000002
HSI,2018-06-26,28881.17969,29034.23047,28505.08984,28881.40039,28881.40039,2528392900.0,3754.5820507
HSI,2018-06-27,28957.64063,28988.83008,28342.82031,28356.25977,28356.25977,2572195600.0,3686.3137701
HSI,2018-06-28,28368.00977,28567.28906,28169.09961,28497.32031,28497.32031,2569401700.0,3704.6516403
HSI,2018-06-29,28463.84961,28962.28906,28463.84961,28955.10938,28955.10938,2390149600.0,3764.1642194000005
HSI,2018-07-03,28617.0,28617.0,27990.44922,28545.57031,28545.57031,3283196100.0,3710.9241403
HSI,2018-07-04,28546.32031,28642.33984,28141.2793,28241.66992,28241.66992,2102178600.0,3671.4170896
HSI,2018-07-05,28101.84961,28320.90039,27830.75,28182.08984,28182.08984,1879594600.0,3663.6716792
HSI,2018-07-06,28254.36914,28554.21094,27925.33008,28315.61914,28315.61914,2018289300.0,3681.0304882
HSI,2018-07-09,28606.16016,28821.53906,28518.51953,28688.5,28688.5,1877898300.0,3729.505
HSI,2018-07-10,28900.71094,28981.92969,28682.25,28682.25,28682.25,1667619300.0,3728.6925
HSI,2018-07-11,28013.7207,28365.7207,28013.7207,28311.68945,28311.68945,1871183500.0,3680.5196285
HSI,2018-07-12,28260.08984,28614.5293,28217.31055,28480.83008,28480.83008,1850926800.0,3702.5079104
HSI,2018-07-13,28689.17969,28715.35938,28500.50977,28525.43945,28525.43945,1449784600.0,3708.3071285000005
HSI,2018-07-16,28580.96094,28699.21094,28327.0,28539.66016,28539.66016,1239642900.0,3710.1558208
HSI,2018-07-17,28451.5,28460.86914,28137.94922,28181.67969,28181.67969,1700682900.0,3663.6183597000004
HSI,2018-07-18,28352.10938,28386.38086,28045.4707,28117.41992,28117.41992,1507604000.0,3655.2645896000004
HSI,2018-07-19,28251.16016,28329.98047,27998.35938,28010.85938,28010.85938,1495109900.0,3641.4117194000005
HSI,2018-07-20,28054.75977,28294.74023,27745.84961,28224.48047,28224.48047,2439680200.0,3669.1824610999997
HSI,2018-07-23,28298.60938,28391.58008,28091.06055,28256.11914,28256.11914,1893557000.0,3673.2954882
HSI,2018-07-24,28282.30078,28718.0,28282.30078,28662.57031,28662.57031,2416350500.0,3726.1341403
HSI,2018-07-25,28906.9707,28964.78906,28764.34961,28920.90039,28920.90039,1632380100.0,3759.7170507
HSI,2018-07-26,29083.40039,29083.40039,28625.08008,28781.14063,28781.14063,1418097900.0,3741.5482819000003
HSI,2018-07-27,28734.73047,28816.68945,28572.78906,28804.2793,28804.2793,1206039800.0,3744.556309
HSI,2018-07-30,28631.05078,28839.24023,28539.56055,28733.13086,28733.13086,1231291800.0,3735.3070118
HSI,2018-07-31,28663.14063,28682.31055,28538.0293,28583.00977,28583.00977,1464571200.0,3715.7912701
HSI,2018-08-01,28756.7207,28772.80078,28219.9707,28340.74023,28340.74023,1516068100.0,3684.2962299
HSI,2018-08-02,28159.00977,28218.2793,27578.08984,27714.56055,27714.56055,1989173700.0,3602.8928714999997
HSI,2018-08-03,27751.59961,27786.15039,27604.56055,27676.32031,27676.32031,1608505200.0,3597.9216403
HSI,2018-08-06,27885.50977,28074.5293,27730.41992,27819.56055,27819.56055,1445836100.0,3616.5428715
HSI,2018-08-07,27889.43945,28266.67969,27843.16016,28248.88086,28248.88086,1553852900.0,3672.3545118
HSI,2018-08-08,28473.48047,28473.48047,28224.46094,28359.14063,28359.14063,1611650400.0,3686.6882819
HSI,2018-08-09,28260.5,28728.16992,28192.81055,28607.30078,28607.30078,1448212200.0,3718.9491014000005
HSI,2018-08-10,28614.73047,28665.90039,28296.99023,28366.61914,28366.61914,1284477700.0,3687.6604882
HSI,2018-08-13,27956.7793,28085.16992,27823.21094,27936.57031,27936.57031,1484354700.0,3631.7541403
HSI,2018-08-14,27938.32031,27946.55078,27522.82031,27752.92969,27752.92969,1490419600.0,3607.8808597
HSI,2018-08-15,27724.7207,27727.26953,27249.08008,27323.58984,27323.58984,1913746300.0,3552.0666792
HSI,2018-08-16,26871.10938,27405.25,26871.10938,27100.06055,27100.06055,2138210600.0,3523.0078715
HSI,2018-08-17,27388.57031,27450.83984,27101.09961,27213.41016,27213.41016,1557764000.0,3537.7433208
HSI,2018-08-20,27273.7793,27609.80078,27209.2207,27598.01953,27598.01953,1660834700.0,3587.7425389000005
HSI,2018-08-21,27670.53906,27771.30078,27526.30078,27752.78906,27752.78906,1699480400.0,3607.8625778
HSI,2018-08-22,27836.67969,27954.51953,27579.80078,27927.58008,27927.58008,1784465100.0,3630.5854104
HSI,2018-08-23,28005.33008,28051.65039,27659.21094,27790.46094,27790.46094,1462580600.0,3612.7599222000003
HSI,2018-08-24,27565.98047,27830.91016,27532.06055,27671.86914,27671.86914,1492245200.0,3597.3429882
HSI,2018-08-27,28016.66016,28289.06055,27956.03906,28271.26953,28271.26953,2133548500.0,3675.2650389000005
HSI,2018-08-28,28530.89063,28579.64063,28234.5293,28351.61914,28351.61914,1651324700.0,3685.7104882
HSI,2018-08-29,28362.83984,28485.83008,28272.13086,28416.43945,28416.43945,1365810400.0,3694.1371285000005
HSI,2018-08-30,28533.92969,28533.92969,28121.40039,28164.05078,28164.05078,1292190100.0,3661.3266014000005
HSI,2018-08-31,27798.21094,27962.0293,27720.32031,27888.55078,27888.55078,1923264400.0,3625.5116014000005
HSI,2018-09-03,27809.44922,27822.18945,27577.03906,27712.53906,27712.53906,1396877700.0,3602.6300778
HSI,2018-09-04,27619.17969,27984.89063,27563.78906,27973.33984,27973.33984,1102334700.0,3636.5341792000004
HSI,2018-09-05,27789.01953,27861.99023,27208.33984,27243.84961,27243.84961,1913637000.0,3541.7004493000004
HSI,2018-09-06,27069.21094,27268.39063,26818.82031,26974.82031,26974.82031,2172071800.0,3506.7266403
HSI,2018-09-07,26895.86914,27196.57031,26669.58008,26973.4707,26973.4707,2859939000.0,3506.5511910000005
HSI,2018-09-10,26922.26953,26926.63086,26453.28906,26613.41992,26613.41992,2045973800.0,3459.7445896
HSI,2018-09-11,26611.92969,26690.65039,26394.86914,26422.55078,26422.55078,1688227600.0,3434.9316014
HSI,2018-09-12,26462.82031,26468.91016,26219.56055,26345.03906,26345.03906,2255883500.0,3424.8550778
HSI,2018-09-13,26798.39063,27014.49023,26648.76953,27014.49023,27014.49023,2336699600.0,3511.8837299
HSI,2018-09-14,27229.78906,27340.01953,27027.44922,27286.41016,27286.41016,1707220300.0,3547.2333208
HSI,2018-09-17,27029.91016,27037.48047,26763.21094,26932.84961,26932.84961,1262149500.0,3501.2704493
HSI,2018-09-18,26846.33008,27156.55078,26648.99023,27084.66016,27084.66016,1810262900.0,3521.0058208
HSI,2018-09-19,27170.01953,27488.34961,27085.78906,27407.36914,27407.36914,1874196000.0,3562.9579882
HSI,2018-09-20,27605.7207,27628.18945,27327.23047,27477.66992,27477.66992,1399791400.0,3572.0970896000003
HSI,2018-09-21,27712.34961,27965.96094,27536.26953,27953.58008,27953.58008,2777208200.0,3633.9654104
HSI,2018-09-24,27783.84961,27783.84961,27425.00977,27499.39063,27499.39063,1511079800.0,3574.9207819000003
HSI,2018-09-26,27606.81055,28031.81055,27589.36914,27816.86914,27816.86914,2338781100.0,3616.1929882
HSI,2018-09-27,27912.50977,27928.28906,27638.53906,27715.66992,27715.66992,1440548100.0,3603.0370896
HSI,2018-09-28,27879.06055,27927.94922,27672.83008,27788.51953,27788.51953,1636511300.0,3612.5075389000003
HSI,2018-10-02,27716.16016,27716.16016,27073.08008,27126.38086,27126.38086,2081279200.0,3526.4295118000005
HSI,2018-10-03,26840.19922,27270.16016,26840.19922,27091.25977,27091.25977,1316749100.0,3521.8637701000002
HSI,2018-10-04,27029.40039,27029.40039,26551.43945,26623.86914,26623.86914,1903259700.0,3461.1029882
HSI,2018-10-05,26503.75,26639.64063,26373.46094,26572.57031,26572.57031,1684117300.0,3454.4341403
HSI,2018-10-08,26717.59961,26717.59961,26187.83008,26202.57031,26202.57031,2296488600.0,3406.3341403
HSI,2018-10-09,26194.16992,26366.59961,26067.50977,26172.91016,26172.91016,1744919700.0,3402.4783208
